Begin	End	Repetitions	Basic	Multiplex	Lookup	Optimised	Vector
point[0, 0, 0]	point[100000, 75000, 25000]	10000	23463250	24900442	24223711	23161686	25147226
point[0, 0, 0]	point[100000, 75000, 50000]	10000	23160892	24853077	24178768	23239599	25114824
point[0, 0, 0]	point[100000, 75000, 75000]	10000	23399787	25127136	24570159	23484797	25279057
point[0, 0, 0]	point[100000, 75000, 100000]	10000	23766153	25380560	24602569	23035156	25099461
point[0, 0, 0]	point[100000, 100000, 0]	10000	22968012	25158403	24968767	22610688	25272059
point[0, 0, 0]	point[100000, 100000, 25000]	10000	23288899	25204506	24507508	23512721	25298034
point[0, 0, 0]	point[100000, 100000, 50000]	10000	23636694	25403679	24733442	23182626	25080153
point[0, 0, 0]	point[100000, 100000, 75000]	10000	23373856	25269643	24541333	22942194	25360111
point[0, 0, 0]	point[100000, 100000, 100000]	10000	23742114	25556972	25127151	23038560	25432646
point[0, 0, 0]	point[1000000, 0, 0]	1000	24887698	26483438	25442024	24409179	27357370
point[0, 0, 0]	point[1000000, 0, 250000]	1000	24784097	26704181	25660813	24536403	27395327
point[0, 0, 0]	point[1000000, 0, 500000]	1000	25080758	26757651	25564456	24483657	27142657
point[0, 0, 0]	point[1000000, 0, 750000]	1000	25092454	26705532	25609923	24565999	27210733
point[0, 0, 0]	point[1000000, 0, 1000000]	1000	25082883	26366334	25961632	24653224	27233463
point[0, 0, 0]	point[1000000, 250000, 0]	1000	24610745	26432397	25536404	24509841	26970689
point[0, 0, 0]	point[1000000, 250000, 250000]	1000	24859843	26302234	25400041	24942220	27042347
point[0, 0, 0]	point[1000000, 250000, 500000]	1000	25101801	26615989	25785563	25215885	27549524
point[0, 0, 0]	point[1000000, 250000, 750000]	1000	25215875	26195804	26105918	25178182	27179709
point[0, 0, 0]	point[1000000, 250000, 1000000]	1000	25130786	26677152	25935001	23649514	27233727
point[0, 0, 0]	point[1000000, 500000, 0]	1000	24779849	26490703	25295010	24712416	27183452
point[0, 0, 0]	point[1000000, 500000, 250000]	1000	24918994	27153046	26653202	25386547	27668628
point[0, 0, 0]	point[1000000, 500000, 500000]	1000	25663627	27456649	26455800	25621657	27691964
point[0, 0, 0]	point[1000000, 500000, 750000]	1000	25711817	27078055	26598084	25318288	27217861
point[0, 0, 0]	point[1000000, 500000, 1000000]	1000	25751649	27016515	25767626	24942772	27096907
point[0, 0, 0]	point[1000000, 750000, 0]	1000	25036490	26795326	26061177	24431662	26779751
point[0, 0, 0]	point[1000000, 750000, 250000]	1000	25475373	26860964	26225256	25230370	27006242
point[0, 0, 0]	point[1000000, 750000, 500000]	1000	25049948	27322563	26457505	25699707	27686125
point[0, 0, 0]	point[1000000, 750000, 750000]	1000	25599754	27284484	26904983	25821699	27525866
point[0, 0, 0]	point[1000000, 750000, 1000000]	1000	25908316	27515429	26541519	25299663	27425658
point[0, 0, 0]	point[1000000, 1000000, 0]	1000	25495748	27054934	26363270	24606008	27950469
point[0, 0, 0]	point[1000000, 1000000, 250000]	1000	25979663	27768796	27013860	25912160	27748623
point[0, 0, 0]	point[1000000, 1000000, 500000]	1000	26090516	27873986	27315911	25820654	27761022
point[0, 0, 0]	point[1000000, 1000000, 750000]	1000	26114227	28199149	27777677	25797942	27976680
point[0, 0, 0]	point[1000000, 1000000, 1000000]	1000	26465035	28152149	27635871	25673171	27898662
